,VALUE,GROWTH,PROFIT,QUALITY,MOMENTUM,VOLATILITY,LIQUIDITY,market,银行,房地产,通信,家用电器,机械设备,非银金融,汽车,化工,电子,医药生物,食品饮料,有色金属,钢铁,国防军工,建筑材料,公用事业,综合,农林牧渔,计算机,采掘,交通运输,商业贸易,传媒,建筑装饰,电气设备,轻工制造,休闲服务,纺织服装
20090228,-0.03160055739462081,0.019436538923608214,0.06205464370236943,-0.011729676905253486,-0.02066653806405551,-0.0053761793082210355,0.01641038150258517,-0.018768682480088717,0.03203103689929773,0.032386277467405286,0.02410625905031022,0.0774456121222245,0.10510006951519302,0.0695210216921554,0.10789270287748705,0.051741139155768515,0.024965176544285497,0.003973822991049047,0.06805402139681804,0.21264055085845546,0.03775044594020706,0.02970628003042011,-0.04786113255858482,0.016956990424216715,0.1886552395635483,0.03070012300457845,-0.015048034942524019,-0.003137391549168842,0.0441204175203993,-0.011847140374010688,0.03744569811311676,0.04347884431898498,0.07462432023464376,0.0,0.0,0.06491139672122079
20090331,0.031830866427382004,-0.0035015928671930305,-0.007714711191841417,0.0016919384468415052,0.012425550723397138,-0.003114603926424436,-0.0046365908039501455,-0.043776934103824425,0.06029570050073961,0.19414085525505437,0.16758873682154907,0.0223276244069478,0.03247818874034682,0.20974620881364395,0.13141112414667033,0.15645909597575386,0.23027704985597047,0.014593167207679072,-0.028979886430499556,0.219938541182854,0.09288934406363647,0.10913546832867065,0.23992150097208897,0.09235404014899319,0.19048681842052428,0.16959299707932834,0.07746403806673707,0.18734457171558666,0.19231090333951978,0.15902366730102924,0.09921769853742442,0.03958272237393938,0.2971028748399444,0.0,0.0,0.09418227350375721
20090430,0.008306059090983333,0.0017792621632607224,0.029783890982990488,0.003654685848441865,0.02170029583593123,-0.006665663490864482,-0.008289546699967195,-0.027181623977871192,-0.016425937175843744,0.06571158746325514,0.08824725412501258,0.008827952154013895,0.015414951090859184,-0.014197158729382403,0.09347525882729595,0.06670310970433677,0.013395338564112035,0.0024649848134341394,0.032316414217279786,-0.0414821193576643,0.00864335838682743,0.01468028972714051,0.09351782046957136,-0.058095672215156074,0.04867734635288962,-0.11385440954725595,0.047774199647217984,0.10512974031997885,0.022722181902202876,0.13323700721921095,0.07073305871288904,-0.004958925663191261,0.13388975955934213,0.0,0.0,0.026860984704265952
20090531,0.025699012422324648,0.002642513323389305,0.018246255412135176,0.0038644243625392954,0.0017250809176110934,0.0027165355584985104,0.017711209880054497,-0.045902948237113,0.022219429272645974,0.1475356759220372,-0.09079730147288059,-0.04284189119282743,-0.07378620084971303,0.07256400665731372,0.03179965940552845,-0.01492905637054683,-0.12344773599241973,-0.10765123744000946,-0.07996278487432659,0.10747528262991592,0.1009782362766054,-0.022617946313192312,-0.0760461085282585,-0.034773830748904944,0.07488952951998405,-0.04350942567983203,-0.03921736715234876,0.09487165634638421,-0.006724793861845486,0.014893363791493808,-0.09035936274986811,-0.031845916293228554,0.11704603510477367,0.0,0.0,0.051058203023114646
20090630,-0.02169145447095032,0.0005163215368377914,0.009866251766103572,0.024253391538386418,-0.003128499631041037,0.011654055310633682,-0.0009216660331179192,0.010171550204906241,0.2834768063752935,0.284073508039809,0.10350538052697313,0.03216766222121504,0.15300414371529486,0.1605990049343986,0.03537613779185242,0.03947402899114446,0.025421388909886714,0.103560727138304,0.21887900566842428,0.21866597690786654,0.20488229150984677,0.00980735063699606,0.06569887938107033,0.0440887632768409,0.019708856977778078,0.07797998045256563,-0.01768489288849558,0.07652907739852244,0.07203293561849361,0.16883520338034572,0.19617616053450918,0.12115125830814147,-0.0903642957259945,0.0,0.0,0.21328340976064092
20090731,0.03809287659825934,-0.008308036163617336,0.0009047518294699325,0.015886039309146012,-0.006706978757609819,-0.013316060363498482,-0.0010024018031576697,0.00038845582449582514,0.12557054286336994,0.09495686521014271,0.16430750354166718,0.09107967968849752,0.08919455436068519,0.2616325472979881,0.21621399202942126,0.20850779399396296,0.11883355869839754,0.0839439904943995,0.12508597593617504,0.23136124037637615,0.30220338706306304,0.2072830396723529,0.1641118135774331,0.15917220087873793,0.2768777584558139,0.1088648934708579,0.22282360396354756,0.21946816119555473,0.15171462731140123,0.04988300367228998,0.08146460213653264,0.08314647098984909,0.12109637935579848,0.0,0.0,-0.007553428195223439
20090831,-0.006119183851509141,0.0033781057315948626,0.014606525894511328,-0.011181499155169567,0.0018794674032403327,0.001473753407270774,0.007786126832632434,-0.03906870673173001,-0.2696737454450752,-0.2297755741230026,-0.13219970380682333,-0.15888929459199083,-0.17567522004154418,-0.2084635539575027,-0.151134271970841,-0.057444301256364946,-0.22899580491433413,-0.10604898574202937,-0.10509613052190611,-0.24730951742322588,-0.2832389507749804,-0.14900484192439936,-0.1619317953351072,-0.2126553352957785,-0.16000957440652208,-0.19662189630427362,-0.1949590467212652,-0.2002338055142691,-0.18285050846738105,-0.14929339381822926,-0.21434918589559387,-0.24469316465759403,-0.19718944653155301,0.0,0.0,-0.19667501701673787
20090930,-0.0019705266151021543,-0.0031830161942197964,0.020280533276886507,-0.01827163114080883,-0.004088070427679766,0.009034593400325459,-0.006916882900933525,-0.03157659881539272,0.10974364280194149,0.08773612618210166,0.0680450491213932,0.06028761811197092,0.09561470373004077,0.05904814241985232,0.05963268042035712,-0.007714635200989677,0.03351897238274318,0.05566568936543584,0.052313803798766385,0.06407315222386041,-0.018363914296200656,-0.08471694676694107,0.06201309469652984,-0.010916776832901957,-0.0775141506623227,-0.05719877098910445,0.00020636445052195015,0.04433725883369783,0.020507740587355897,0.09245260821497615,0.013686311861350197,0.008150559422332249,0.06185556067297918,0.0,0.0,0.03168073830581283
20091031,-3.617185410405635e-05,-0.011107880431457558,-0.016673502341051333,0.011313868783648895,0.007089326960007459,-0.01672791369692858,0.006377917467711661,-0.030965714795001324,0.061317518891324474,0.11309374803006046,0.03147612694368328,0.12769792127889645,0.06692809178611837,0.12242604469546076,0.19262448908034008,0.06364696117776955,0.017453326807902816,0.09108707937839584,0.020063870273222244,0.09803537363131831,0.056914032519799665,0.04550078675502032,0.08882136174534877,0.034299271344843014,0.11114572066274137,0.04419177253923899,0.01496446947093496,0.1433230900306035,0.06899627662373711,0.054793965124870884,0.04536903422804956,0.0474667776083665,0.0323755074457316,-5.1528425672340896e-20,-0.19953985470881308,0.05882840812390938
20091130,-0.022106226907713175,-0.0029681202948823046,0.01882577431257726,-0.001827024972745537,-0.01837854642500157,-0.023255089039849602,-0.004219045457437449,-0.029773685721305017,0.010237871917393011,0.04420409939305504,0.03634473770395782,0.12284716496638959,0.0432087893418864,0.07696924271004951,0.05340381428022228,0.1135179731811775,0.15453880363489556,0.04825580230293568,0.19941375631195998,0.1356473376820209,0.15855904759294934,0.08805649180226602,0.05630416222319195,0.06661677648367173,0.15563488121666197,0.19002902875768868,0.0761309644839474,0.13612268716936674,0.09898512917171665,0.17038593128925694,0.14947991227566024,0.060392004951485445,0.1354265484306106,3.864375813234575e-18,0.2751720764399811,0.17536461093178687
