,000001.SZ,000002.SZ,000060.SZ,000063.SZ,000069.SZ,000100.SZ,000157.SZ,000166.SZ,000333.SZ,000338.SZ,000402.SZ,000413.SZ,000415.SZ,000423.SZ,000425.SZ,000503.SZ,000538.SZ,000540.SZ,000559.SZ,000568.SZ,000623.SZ,000625.SZ,000627.SZ,000630.SZ,000651.SZ,000671.SZ,000709.SZ,000723.SZ,000725.SZ,000728.SZ,000768.SZ,000776.SZ,000783.SZ,000786.SZ,000792.SZ,000826.SZ,000839.SZ,000858.SZ,000876.SZ,000895.SZ,000898.SZ,000938.SZ,000959.SZ,000961.SZ,000963.SZ,000983.SZ,001965.SZ,001979.SZ,002007.SZ,002008.SZ,002024.SZ,002027.SZ,002044.SZ,002050.SZ,002065.SZ,002074.SZ,002081.SZ,002085.SZ,002142.SZ,002146.SZ,002153.SZ,002202.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002294.SZ,002304.SZ,002310.SZ,002352.SZ,002385.SZ,002411.SZ,002415.SZ,002450.SZ,002456.SZ,002460.SZ,002466.SZ,002468.SZ,002470.SZ,002475.SZ,002493.SZ,002500.SZ,002508.SZ,002555.SZ,002558.SZ,002572.SZ,002594.SZ,002601.SZ,002602.SZ,002608.SZ,002624.SZ,002625.SZ,002673.SZ,002714.SZ,002736.SZ,002739.SZ,002797.SZ,002925.SZ,300003.SZ,300015.SZ,300017.SZ,300024.SZ,300027.SZ,300033.SZ,300059.SZ,300070.SZ,300072.SZ,300122.SZ,300124.SZ,300136.SZ,300144.SZ,300251.SZ,300408.SZ,300433.SZ,600000.SH,600008.SH,600009.SH,600010.SH,600011.SH,600015.SH,600016.SH,600018.SH,600019.SH,600023.SH,600025.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600038.SH,600048.SH,600050.SH,600061.SH,600066.SH,600068.SH,600085.SH,600089.SH,600100.SH,600104.SH,600109.SH,600111.SH,600115.SH,600118.SH,600153.SH,600157.SH,600170.SH,600176.SH,600177.SH,600188.SH,600196.SH,600208.SH,600219.SH,600221.SH,600233.SH,600271.SH,600276.SH,600297.SH,600309.SH,600332.SH,600339.SH,600340.SH,600346.SH,600352.SH,600362.SH,600369.SH,600372.SH,600373.SH,600376.SH,600383.SH,600390.SH,600398.SH,600406.SH,600415.SH,600436.SH,600438.SH,600482.SH,600487.SH,600489.SH,600498.SH,600516.SH,600518.SH,600519.SH,600522.SH,600535.SH,600547.SH,600549.SH,600570.SH,600583.SH,600585.SH,600588.SH,600606.SH,600637.SH,600660.SH,600663.SH,600674.SH,600682.SH,600688.SH,600690.SH,600703.SH,600704.SH,600705.SH,600739.SH,600741.SH,600795.SH,600804.SH,600809.SH,600816.SH,600820.SH,600837.SH,600867.SH,600886.SH,600887.SH,600893.SH,600900.SH,600909.SH,600919.SH,600926.SH,600958.SH,600959.SH,600977.SH,600999.SH,601006.SH,601009.SH,601012.SH,601018.SH,601021.SH,601088.SH,601099.SH,601108.SH,601111.SH,601117.SH,601155.SH,601166.SH,601169.SH,601186.SH,601198.SH,601211.SH,601212.SH,601216.SH,601225.SH,601228.SH,601229.SH,601238.SH,601288.SH,601318.SH,601328.SH,601333.SH,601336.SH,601360.SH,601377.SH,601390.SH,601398.SH,601555.SH,601600.SH,601601.SH,601607.SH,601611.SH,601618.SH,601628.SH,601633.SH,601668.SH,601669.SH,601688.SH,601718.SH,601727.SH,601766.SH,601788.SH,601800.SH,601808.SH,601818.SH,601828.SH,601838.SH,601857.SH,601866.SH,601877.SH,601878.SH,601881.SH,601888.SH,601898.SH,601899.SH,601901.SH,601919.SH,601933.SH,601939.SH,601958.SH,601985.SH,601988.SH,601989.SH,601991.SH,601992.SH,601997.SH,601998.SH,603160.SH,603260.SH,603288.SH,603799.SH,603833.SH,603858.SH,603993.SH
20051130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20051230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20060125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20060228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20060331,-18.7231,22.1788,-18.1959,7.2841,22.7995,4.3376,26.893,,,,-23.6171,154.4354,-39.3102,3.9461,-0.3234,-17.9252,40.5196,-6.7506,18.7587,26.04,7.7515,-20.7961,-5.1423,72.6507,49.4511,239.9635,-0.1135,10.3487,15.8922,-7.4223,52.3117,8.9123,32.7797,42.5476,32.1794,46.9753,5.1345,10.6574,16.0871,15.0124,75.9721,5.5545,11.6322,-27.9469,22.0613,12.3368,,,0.6544,48.1642,68.6635,47.8015,11.3964,28.9056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.5664,,,,,,,,,,,,,,,,,,,,-18.6558,75.7749,11.5363,-16.7182,8.7985,-23.1769,-31.7238,,87.5319,,,33.7737,14.1302,672.8393,67.1507,-3.5694,182.4644,,26.3885,41.1393,26.9911,22.4446,-9.4209,39.4671,22.0071,-27.9406,94.3998,7.0215,62.0705,78.6124,-17.5188,-33.2359,24.0258,-1.0573,21.9713,-9.0279,8.4535,128.7354,39.598,28.6528,0.5029,55.0243,16.3218,23.805,33.3417,11.3182,-33.793,9.4372,7.5502,3.2183,36.5322,151.9203,9.4678,24.3638,-90.0778,7.5073,-3.2764,8.6292,22.89,47.1429,149.3362,48.7838,29.1111,11.6078,46.3811,9.7915,-11.7145,16.0913,18.268,57.2502,145.3756,-23.3931,76.9046,43.7523,12.0288,54.741,15.5737,-82.4032,-2.153,54.5001,-30.6564,19.7108,-12.9159,8.2832,3.2276,-99.4101,-13.8436,-38.5813,0.3754,22.834,0.6507,60.04,113.6119,-40.8364,-12.7337,112.028,33.9561,-5.0134,38.7726,5.6692,27.0808,,,,173.9972,,,98.9453,,,,,,,,,,,,,,,,234.0938,,,,,,,,,,,,,,,,,,,-4.0015,,,,,,,546.088,,,,424.2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20060428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20060531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20060630,18.0628,53.8848,14.6978,2.7749,12.4627,-0.8669,37.5794,-57.3018,,,579.8852,110.3105,-29.1105,17.6021,-11.5643,-6.4094,29.9796,12.6202,19.22,33.2872,11.0623,-30.574,3.4561,96.5928,42.2611,429.4257,12.334,4.8954,-0.5776,-19.2915,51.2312,-16.3641,75.2364,33.169,52.6607,36.9459,8.7693,15.5949,12.9576,13.5579,76.1802,7.5043,13.3399,-20.8717,14.7905,25.4967,,,1.8863,50.6898,66.5855,83.0246,33.2284,21.5044,30.4719,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3697,,,,,,,,,,,309.4865,,1352.32,,105.2952,,,,,,,,,,,,,,,,,,21.4394,131.9804,10.5951,-18.9052,5.6044,28.426,-31.7893,,48.8172,,,36.722,17.1218,947.5704,90.2153,21.8766,35.8328,60.4766,25.2121,25.2115,31.3044,33.1593,-12.6284,31.8658,20.767,-23.3041,-4.2143,31.9204,70.1877,13.4114,7.3429,-18.4034,25.8445,21.0248,38.2885,5.3179,32.8746,105.5288,836.3221,26.5349,10.9924,51.6899,17.3649,40.5379,41.8803,11.6799,-39.7203,21.1541,27.3147,22.5058,52.1167,64.5658,21.5054,39.9125,-85.6874,-11.2937,1.1232,19.1235,9.9168,39.6442,66.1381,30.0562,30.3341,29.2022,11.7741,19.2209,-1.9469,20.3829,19.414,37.2713,83.5445,-31.8147,57.2062,55.222,14.1611,65.5064,14.9014,-80.9347,21.7546,38.7354,-44.3354,31.0872,-10.4819,8.9762,38.0469,-99.6024,-3.5313,-36.8803,6.2388,18.4097,21.7812,26.2336,57.293,-64.276,-13.0642,851.8978,25.3696,86.1064,40.8242,8.4672,1.1411,,,,674.1704,,,320.8511,22.3645,,,,,,,,9.3277,,,,,,,285.6616,,,,,,,,,,,,,781.742,,10.6929,246.8201,,,2.4047,,,41.5637,,,,5312.7754,,,,425.1679,,,,,,,,,,,,,,,,,,,,-21.3089,,,,,,,,,,,,
20060731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20060831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
