,000001.SZ,000002.SZ,603833.SH,000703.SZ,000783.SZ,300003.SZ,001979.SZ,000413.SZ,600061.SH,600339.SH,000100.SZ,002555.SZ,000408.SZ,002508.SZ,000063.SZ,000423.SZ,000338.SZ,000069.SZ,002304.SZ,002466.SZ,600383.SH,600688.SH,000157.SZ,600436.SH,002044.SZ,000402.SZ,601888.SH,600674.SH,601991.SH,002252.SZ,000425.SZ,600637.SH,002422.SZ,601988.SH,601997.SH,000898.SZ,601992.SH,601088.SH,000938.SZ,600018.SH,600346.SH,000538.SZ,600588.SH,002736.SZ,600369.SH,001965.SZ,600549.SH,002493.SZ,600068.SH,000568.SZ,601618.SH,000895.SZ,000661.SZ,002468.SZ,601788.SH,603986.SH,000625.SZ,300122.SZ,000630.SZ,002594.SZ,000651.SZ,600048.SH,601018.SH,000786.SZ,002050.SZ,600025.SH,000728.SZ,000709.SZ,000776.SZ,002352.SZ,601169.SH,300015.SZ,002411.SZ,002714.SZ,300059.SZ,300296.SZ,002120.SZ,000768.SZ,002572.SZ,000961.SZ,601006.SH,002202.SZ,000792.SZ,000959.SZ,002146.SZ,000826.SZ,600109.SH,601933.SH,600438.SH,601155.SH,002294.SZ,002065.SZ,600297.SH,000858.SZ,002142.SZ,000876.SZ,600176.SH,600415.SH,600398.SH,000963.SZ,002460.SZ,002007.SZ,601901.SH,300017.SZ,601877.SH,601989.SH,002456.SZ,300408.SZ,002230.SZ,002008.SZ,002624.SZ,601166.SH,603260.SH,600271.SH,601857.SH,600516.SH,600518.SH,603799.SH,002179.SZ,002027.SZ,601818.SH,600000.SH,601668.SH,601766.SH,300251.SZ,600027.SH,002241.SZ,002236.SZ,600009.SH,600010.SH,000415.SZ,600816.SH,600015.SH,600016.SH,600019.SH,600352.SH,601138.SH,002271.SZ,600028.SH,600029.SH,600030.SH,600031.SH,000725.SZ,601939.SH,600036.SH,601898.SH,600050.SH,600066.SH,300433.SZ,600111.SH,601919.SH,000503.SZ,603288.SH,601398.SH,600089.SH,600085.SH,000983.SZ,000166.SZ,300024.SZ,600276.SH,002310.SZ,603160.SH,600100.SH,600115.SH,600705.SH,600104.SH,601808.SH,600606.SH,600118.SH,601878.SH,601838.SH,601198.SH,600332.SH,600219.SH,600153.SH,600482.SH,600170.SH,601009.SH,600177.SH,002475.SZ,600188.SH,601360.SH,600196.SH,600208.SH,601600.SH,000671.SZ,600498.SH,601211.SH,600221.SH,002673.SZ,601318.SH,600570.SH,600390.SH,002001.SZ,000839.SZ,601688.SH,600535.SH,600406.SH,002925.SZ,600372.SH,600309.SH,600340.SH,601328.SH,600566.SH,601985.SH,601828.SH,600362.SH,600522.SH,002773.SZ,600004.SH,300136.SZ,601881.SH,600519.SH,601727.SH,601669.SH,002085.SZ,600583.SH,600585.SH,601228.SH,601555.SH,600760.SH,601238.SH,002311.SZ,300144.SZ,601377.SH,601607.SH,600919.SH,601633.SH,601288.SH,601021.SH,000627.SZ,601108.SH,601229.SH,601611.SH,002032.SZ,601111.SH,601225.SH,603156.SH,600660.SH,603858.SH,601216.SH,601117.SH,600703.SH,600690.SH,300124.SZ,600547.SH,600926.SH,600809.SH,600011.SH,601998.SH,601390.SH,600739.SH,600741.SH,002625.SZ,300033.SZ,600489.SH,600998.SH,000333.SZ,002558.SZ,601212.SH,600837.SH,600795.SH,601899.SH,601066.SH,600867.SH,600958.SH,600886.SH,603993.SH,000553.SZ,600893.SH,601012.SH,600977.SH,601186.SH,300142.SZ,002415.SZ,600909.SH,601601.SH,601333.SH,600999.SH,601336.SH,002601.SZ,300070.SZ,600887.SH,002450.SZ,601628.SH,600704.SH,600900.SH,603259.SH,002602.SZ,002081.SZ,002153.SZ,002024.SZ,601800.SH,600487.SH,600157.SH,600023.SH,600038.SH,002797.SZ,300072.SZ,600233.SH
2005-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,,0.5422,,1.1979,15.1274,,,1.3645,3.898,5.8424,6.2669,,1.8372,,3.8934,4.0446,7.62,0.6388,1.3248,,0.3835,10.6099,2.512,1.9164,14.099,0.3159,,7.408,22.4,2.1981,2.1568,5.5234,,,,9.3762,1.6794,7.3875,7.0429,11.4212,1.5813,4.1139,31.3626,,4.0454,,1.9156,,2.477,0.6425,,15.5502,1.0642,,,,4.453,,4.9943,2.7075,4.4408,0.3,,5.0055,4.3697,105.8126,14.8724,8.4918,2.8467,,,,,,,,5.86,1.1981,,4.8449,67.6,4.7998,1.39,15.8437,0.9202,156.636,0.3554,,11.5062,,1.7245,2.67,5.2081,2.2723,,7.6952,5.1471,1.2147,2.3261,6.2415,,2.3018,,,,,,,3.1369,1.8862,,,,7.1039,5.0988,1.4204,3.2,,4.288,6.9298,,,5.0703,,,22.2955,2.2367,2.2644,72.9844,9.7803,8.7987,,,,6.3305,4.3309,,2.5453,8.7436,23.8671,,1.4039,8.6975,,,,15.1765,4.7783,,2.0346,46.0331,3.3727,,,2.9524,1.0885,11.1355,,3.3339,3.4844,,,3.6159,13.7382,0.8239,3.429,17.0742,0.3164,1.7978,,,,6.7128,3.3032,7.4695,3.3628,14.1349,,0.8836,,12.3589,,4.1323,2.0662,3.86,0.7087,1.4675,,24.8181,,,9.1641,2.8926,3.0548,1.8857,,7.6482,2.1648,,3.9332,5.5121,3.3717,,1.501,,,3.2068,1.8186,,46.8532,,,0.3866,2.3655,,7.35,9.2285,9.0887,,,2.4469,19.9817,,,,7.7678,,4.0342,,,3.4216,,,,3.9231,32.43,,,2.6921,,,,2.1716,16.8474,,27.341,,0.8741,16.7652,,5.4231,13.6782,99.4139,,,13.821,,5.5733,,,5.2042,11.8488,5.179,,1.3717,,18.8104,,3.5348,6.4652,,,19.7877,,,,,18.84,,,,,11.1194,,,2.3355,15.7366,,,2.42,4.3083,10.3322,21.299,3.2599,2.7827,,2.4929,,,6.7297
2006-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-31,,0.0906,,0.5595,3.904,,,1.664,0.7799,1.4431,1.614,,0.1676,,1.1255,0.9303,,0.1157,,,0.0896,2.5733,0.6626,0.5878,3.6915,0.0089,,1.4282,,,0.5664,1.6644,,,,2.4595,,,1.8429,1.9159,0.32,0.9208,5.8601,,0.777,,0.4729,,0.6175,0.2326,,3.5562,0.0636,,,,0.802,,1.4902,,0.9906,,,1.2003,1.5577,,4.0964,2.0099,0.4513,,,,,,,,,0.2599,,0.9117,,,0.1966,4.4776,,48.4177,0.3457,,1.2288,,,,1.7895,0.7549,,1.8527,0.9284,0.1724,0.7063,2.0237,,0.6061,,,,,,,,0.3596,,,,1.1875,,0.348,0.8179,,,1.5765,,,,,,5.6191,,,17.149,1.4258,1.1285,,,,1.1611,1.0132,,,2.0988,5.8232,,0.4345,1.1867,,,,6.0264,1.1273,,0.5371,,0.7071,,,0.7257,0.2675,2.5442,,,0.979,,,0.6438,3.4456,0.1116,0.663,,0.0099,0.6047,,,,1.93,0.6407,1.3795,0.6374,1.6546,,0.2414,,2.6434,,1.0443,0.3751,,0.191,0.2783,,6.5089,,,2.5569,0.6226,0.7543,0.3785,,2.5627,0.3988,,0.8588,1.3464,0.5393,,0.297,,,0.908,0.3326,,11.3562,,,0.1229,,,,1.7684,1.9018,,,0.8396,,,,,2.2138,,,,,0.8351,,,,1.105,,,,0.5641,,,,0.0317,3.7714,,5.3439,,0.4793,3.3585,,,1.9623,29.6738,,,3.9226,,,,,1.9887,2.244,,,0.2362,,4.7099,,0.6588,1.2795,,,,,,,,,,,,,2.2035,,,0.3602,2.6604,,,0.5885,,2.2909,,0.5771,0.548,,0.078,,,1.7992
2006-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-30,,0.228,,1.073,7.0495,,,2.8317,2.3939,3.4517,3.3146,,0.2485,,2.5286,1.8491,,0.2237,,,0.1403,5.0048,1.739,1.3533,10.5082,0.1342,,3.9317,9.4851,,1.4353,3.7323,,,,4.3616,,,3.8736,,0.7512,1.8581,10.5967,,2.1825,,0.9932,,1.2921,0.3742,,6.2829,0.1337,,,,1.3555,,2.9085,,3.4747,0.1304,,2.9649,3.5058,,7.4011,4.4121,1.0294,,,,,,,,,0.6036,,2.07,24.5371,,0.7234,9.3972,,114.7882,0.8621,,3.7505,,,1.1146,3.9935,1.2885,,3.7367,2.47,0.4252,1.3279,3.0148,,1.0874,,,,,,,,0.7983,,,,3.7982,,0.8087,1.5233,,,3.76,,,,,,10.643,,,37.606,2.8195,3.1213,,,,2.4262,2.6614,,,4.3058,12.2692,,1.257,2.7022,,,,13.3335,2.7635,,1.4897,,2.6973,,,1.3997,0.5996,6.6501,,,1.7498,,,1.3996,7.2392,0.2388,1.3126,,0.0284,0.9173,,,,3.8231,12.7094,3.0514,1.4513,3.9142,,0.4802,,7.0063,,2.8365,1.3017,2.2384,0.4992,0.6207,,14.3024,,,6.1033,1.3727,1.3602,0.8326,,5.2377,0.9222,,1.8402,3.4519,1.4321,,0.706,,,1.5555,0.7283,,22.3117,,,0.1802,,,3.7805,3.2962,4.9445,,,1.5087,,,,,4.1068,,,,,1.8024,,,,2.2434,14.2955,,,1.0689,,,,0.0704,12.3017,,8.5473,,0.5914,6.8529,,,5.3806,65.7015,,,6.3276,,,,,,5.1079,,,0.5716,,17.6943,,2.0976,2.6353,,,,,,,,8.63,,,,,5.2257,,,0.8603,5.7548,,,,,4.1566,,1.4772,1.5984,,0.3548,,,2.3131
2006-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
