,000001.SZ,000002.SZ,603833.SH,000703.SZ,000783.SZ,300003.SZ,001979.SZ,000413.SZ,600061.SH,600339.SH,000100.SZ,002555.SZ,000408.SZ,002508.SZ,000063.SZ,000423.SZ,000338.SZ,000069.SZ,002304.SZ,002466.SZ,600383.SH,600688.SH,000157.SZ,600436.SH,002044.SZ,000402.SZ,601888.SH,600674.SH,601991.SH,002252.SZ,000425.SZ,600637.SH,002422.SZ,601988.SH,601997.SH,000898.SZ,601992.SH,601088.SH,000938.SZ,600018.SH,600346.SH,000538.SZ,600588.SH,002736.SZ,600369.SH,001965.SZ,600549.SH,002493.SZ,600068.SH,000568.SZ,601618.SH,000895.SZ,000661.SZ,002468.SZ,601788.SH,603986.SH,000625.SZ,300122.SZ,000630.SZ,002594.SZ,000651.SZ,600048.SH,601018.SH,000786.SZ,002050.SZ,600025.SH,000728.SZ,000709.SZ,000776.SZ,002352.SZ,601169.SH,300015.SZ,002411.SZ,002714.SZ,300059.SZ,300296.SZ,002120.SZ,000768.SZ,002572.SZ,000961.SZ,601006.SH,002202.SZ,000792.SZ,000959.SZ,002146.SZ,000826.SZ,600109.SH,601933.SH,600438.SH,601155.SH,002294.SZ,002065.SZ,600297.SH,000858.SZ,002142.SZ,000876.SZ,600176.SH,600415.SH,600398.SH,000963.SZ,002460.SZ,002007.SZ,601901.SH,300017.SZ,601877.SH,601989.SH,002456.SZ,300408.SZ,002230.SZ,002008.SZ,002624.SZ,601166.SH,603260.SH,600271.SH,601857.SH,600516.SH,600518.SH,603799.SH,002179.SZ,002027.SZ,601818.SH,600000.SH,601668.SH,601766.SH,300251.SZ,600027.SH,002241.SZ,002236.SZ,600009.SH,600010.SH,000415.SZ,600816.SH,600015.SH,600016.SH,600019.SH,600352.SH,601138.SH,002271.SZ,600028.SH,600029.SH,600030.SH,600031.SH,000725.SZ,601939.SH,600036.SH,601898.SH,600050.SH,600066.SH,300433.SZ,600111.SH,601919.SH,000503.SZ,603288.SH,601398.SH,600089.SH,600085.SH,000983.SZ,000166.SZ,300024.SZ,600276.SH,002310.SZ,603160.SH,600100.SH,600115.SH,600705.SH,600104.SH,601808.SH,600606.SH,600118.SH,601878.SH,601838.SH,601198.SH,600332.SH,600219.SH,600153.SH,600482.SH,600170.SH,601009.SH,600177.SH,002475.SZ,600188.SH,601360.SH,600196.SH,600208.SH,601600.SH,000671.SZ,600498.SH,601211.SH,600221.SH,002673.SZ,601318.SH,600570.SH,600390.SH,002001.SZ,000839.SZ,601688.SH,600535.SH,600406.SH,002925.SZ,600372.SH,600309.SH,600340.SH,601328.SH,600566.SH,601985.SH,601828.SH,600362.SH,600522.SH,002773.SZ,600004.SH,300136.SZ,601881.SH,600519.SH,601727.SH,601669.SH,002085.SZ,600583.SH,600585.SH,601228.SH,601555.SH,600760.SH,601238.SH,002311.SZ,300144.SZ,601377.SH,601607.SH,600919.SH,601633.SH,601288.SH,601021.SH,000627.SZ,601108.SH,601229.SH,601611.SH,002032.SZ,601111.SH,601225.SH,603156.SH,600660.SH,603858.SH,601216.SH,601117.SH,600703.SH,600690.SH,300124.SZ,600547.SH,600926.SH,600809.SH,600011.SH,601998.SH,601390.SH,600739.SH,600741.SH,002625.SZ,300033.SZ,600489.SH,600998.SH,000333.SZ,002558.SZ,601212.SH,600837.SH,600795.SH,601899.SH,601066.SH,600867.SH,600958.SH,600886.SH,603993.SH,000553.SZ,600893.SH,601012.SH,600977.SH,601186.SH,300142.SZ,002415.SZ,600909.SH,601601.SH,601333.SH,600999.SH,601336.SH,002601.SZ,300070.SZ,600887.SH,002450.SZ,601628.SH,600704.SH,600900.SH,603259.SH,002602.SZ,002081.SZ,002153.SZ,002024.SZ,601800.SH,600487.SH,600157.SH,600023.SH,600038.SH,002797.SZ,300072.SZ,600233.SH
2005-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,0.0256,0.5627,,0.3131,3.8317,,,0.0721,1.4083,0.5731,1.7005,,0.1906,,1.0123,0.7802,1.0342,0.1472,1.0549,,0.4131,1.6433,0.8457,0.6688,1.6124,0.3061,,0.2321,0.3171,0.9088,0.9344,0.4494,,0.0257,,1.7877,0.4853,0.4134,2.0176,0.2937,0.5107,1.7054,0.7073,0.0399,0.0417,,1.0134,,0.1875,0.565,,3.9759,0.3468,,0.0967,,1.1498,,1.3217,0.6765,1.4345,0.3852,,0.5343,1.0424,0.0603,0.9764,1.1145,0.2156,,0.0195,,,,,,1.6898,0.4402,,0.8389,0.4731,1.1103,0.3675,1.4575,0.9723,0.2686,0.0969,,2.8536,,0.926,1.1721,0.5368,0.6968,0.0321,0.8164,0.4469,0.3561,0.5667,1.8231,,0.5376,,,,,,,0.4864,0.8386,,0.0239,,0.8785,0.8519,0.343,0.7112,,1.1569,2.2766,0.0231,0.0283,1.1045,,,0.4274,0.5698,0.9537,0.3019,1.5144,0.2969,0.0775,0.0231,0.0256,1.2275,0.8695,,0.9037,1.6298,0.5766,0.0548,0.5588,0.6931,0.03,0.0287,,0.5375,1.6988,,0.4321,0.7269,0.1409,,0.0282,0.7002,0.7107,0.6569,0.0449,0.6498,0.9283,,,0.9821,0.53,0.195,0.4469,0.523,0.2457,0.393,0.0952,,,1.7559,0.4337,2.243,1.0002,1.736,0.0281,0.4135,,0.6466,,0.5514,0.4308,0.702,0.3405,0.4146,0.0605,0.3592,0.0778,0.2557,0.5204,0.623,0.701,0.2499,0.0345,0.5916,0.651,,0.7186,0.853,0.3372,0.0274,0.2464,,,1.0883,0.5578,,0.274,,0.0555,0.5447,0.6609,,1.0859,1.3864,0.6132,,0.0368,0.7666,1.3273,,,0.0837,1.6742,0.0267,0.6704,0.0179,,0.4783,0.0688,0.0244,,1.0859,0.5855,,,0.4946,,,,0.0852,2.3781,,3.3224,0.0317,0.8442,0.4841,0.0249,1.2258,2.0367,0.6669,,,2.6683,,2.0553,,,0.3145,0.3273,0.5595,0.0042,0.1786,0.0507,0.3396,,0.7834,0.811,,,1.2681,,,,0.3671,0.2708,0.0692,,,,2.3639,,0.3435,1.1323,0.2003,,,1.2812,1.0557,4.9966,1.1778,0.5661,1.2764,,0.8545,0.0311,,0.8744
2006-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-31,0.0069,0.0996,,0.125,1.1906,,,0.0768,0.2759,0.1106,0.4325,,0.0174,,0.2137,0.1651,,0.0303,,,0.1001,0.4218,0.2071,0.1676,0.3502,0.0122,,0.0633,,,0.2207,0.1204,,,,0.3646,,,0.4414,0.0572,0.1147,0.4288,0.1326,0.0341,0.0104,,0.2472,,0.0484,0.228,,0.9991,0.0598,,0.0276,,0.1868,,0.398,,0.3087,,,0.1172,0.2759,,0.2527,0.25,0.0386,,,,,,,,,0.1193,,0.1712,,,0.063,0.3839,,0.0607,0.031,,0.3729,,,,0.1701,0.2737,,0.2049,0.0863,0.0709,0.1572,0.4974,,0.1298,,,,,,,,0.1781,,,,0.1725,,0.0811,0.1745,,,0.5889,,0.007,,,,0.0952,,,0.067,0.2862,0.0247,0.0109,0.0064,0.0061,0.2336,0.2037,,,0.4265,0.1294,0.0219,0.1704,0.1158,,0.0068,,0.1688,0.3364,,0.1052,,0.0331,,,0.172,0.1657,0.1475,,,0.2558,,,0.1817,0.1336,0.0338,0.0719,,0.0148,0.135,,,,0.4955,0.0901,0.4138,0.2308,0.3694,,0.1335,,0.1481,,0.1354,0.0975,,0.099,0.0851,0.0247,0.0931,0.0363,,0.1265,0.1397,0.1799,0.0514,0.0306,0.1842,0.1143,,0.1608,0.2197,0.0608,,0.0538,,,0.3355,0.1231,,0.0742,,,0.1674,,,,0.2328,0.1503,,,0.2181,,,,0.0336,0.4618,,,,,0.121,0.0206,,,0.353,,,,0.1169,,,,0.0004,0.6297,,0.6143,,0.3956,0.1054,,,0.2943,0.1689,,,0.7431,,,,,0.1097,0.0634,,,0.0336,0.0234,0.0817,,0.1641,0.2232,,,,,,,,,0.0291,,,,0.5625,,,0.1817,0.028,,,0.3404,,1.1815,,0.1152,0.2473,,0.0381,0.0263,,0.2172
2006-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-30,0.0134,0.263,,0.2346,2.4585,,,0.1266,0.7716,0.2445,0.8833,,0.0346,,0.4863,0.3461,,0.0567,,,0.1658,0.8671,0.5157,0.3942,0.7401,0.1248,,0.1402,0.1581,,0.5193,0.2923,,0.0137,,0.7518,,,0.8752,,0.2662,0.838,0.3303,0.115,0.0339,,0.4761,,0.1074,0.3813,,1.9766,0.1268,,0.072,,0.3361,,0.887,,0.9495,0.1497,,0.2846,0.5539,,0.4732,0.5465,0.0895,,,,,,,,,0.2787,,0.3759,0.2121,,0.2402,0.7934,,0.1164,0.0903,,1.0844,,,0.554,0.3769,0.4506,,0.3927,0.1971,0.1707,0.3197,0.9179,,0.2468,,,,,,,,0.418,,0.012,,0.499,,0.1729,0.369,,,1.402,,0.0143,,,,0.1798,,,0.1374,0.6251,0.073,0.0149,0.022,0.0129,0.5146,0.5238,,,0.9017,0.2862,0.0575,0.5,0.214,,0.014,,0.3447,0.8033,,0.2606,,0.0668,,0.0125,0.3507,0.3522,0.3386,0.0059,,0.5094,,,0.4009,0.2924,0.0673,0.1503,,0.041,0.232,0.0896,,,0.9717,1.5411,1.0265,0.4708,0.8156,,0.2562,,0.3258,,0.3319,0.3287,0.4422,0.2156,0.1981,0.0625,0.1806,0.1176,,0.2912,0.2961,0.3575,0.1124,0.0741,0.3935,0.2758,,0.3621,0.4782,0.192,,0.1314,,,0.7163,0.2779,,0.1506,,,0.2539,,,0.6424,0.5407,0.3792,,0.0443,0.3973,,,,0.0815,0.8701,,,,,0.2681,0.0529,,,0.6503,0.2734,,,0.2526,,,,0.0012,1.8857,,1.1258,,0.5887,0.2036,,,0.7482,0.3377,,,1.343,,,,,1.1678,0.1597,,,0.0857,0.1265,0.3069,,0.471,0.4455,,,,,,,,0.1376,0.0925,,,,1.3029,,0.2241,0.4209,0.0767,,,,,2.0469,,0.3086,0.6662,,0.1916,0.0685,,0.3945
2006-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
