,000001.SZ,000002.SZ,603833.SH,000703.SZ,000783.SZ,300003.SZ,001979.SZ,000413.SZ,600061.SH,600339.SH,000100.SZ,002555.SZ,000408.SZ,002508.SZ,000063.SZ,000423.SZ,000338.SZ,000069.SZ,002304.SZ,002466.SZ,600383.SH,600688.SH,000157.SZ,600436.SH,002044.SZ,000402.SZ,601888.SH,600674.SH,601991.SH,002252.SZ,000425.SZ,600637.SH,002422.SZ,601988.SH,601997.SH,000898.SZ,601992.SH,601088.SH,000938.SZ,600018.SH,600346.SH,000538.SZ,600588.SH,002736.SZ,600369.SH,001965.SZ,600549.SH,002493.SZ,600068.SH,000568.SZ,601618.SH,000895.SZ,000661.SZ,002468.SZ,601788.SH,603986.SH,000625.SZ,300122.SZ,000630.SZ,002594.SZ,000651.SZ,600048.SH,601018.SH,000786.SZ,002050.SZ,600025.SH,000728.SZ,000709.SZ,000776.SZ,002352.SZ,601169.SH,300015.SZ,002411.SZ,002714.SZ,300059.SZ,300296.SZ,002120.SZ,000768.SZ,002572.SZ,000961.SZ,601006.SH,002202.SZ,000792.SZ,000959.SZ,002146.SZ,000826.SZ,600109.SH,601933.SH,600438.SH,601155.SH,002294.SZ,002065.SZ,600297.SH,000858.SZ,002142.SZ,000876.SZ,600176.SH,600415.SH,600398.SH,000963.SZ,002460.SZ,002007.SZ,601901.SH,300017.SZ,601877.SH,601989.SH,002456.SZ,300408.SZ,002230.SZ,002008.SZ,002624.SZ,601166.SH,603260.SH,600271.SH,601857.SH,600516.SH,600518.SH,603799.SH,002179.SZ,002027.SZ,601818.SH,600000.SH,601668.SH,601766.SH,300251.SZ,600027.SH,002241.SZ,002236.SZ,600009.SH,600010.SH,000415.SZ,600816.SH,600015.SH,600016.SH,600019.SH,600352.SH,601138.SH,002271.SZ,600028.SH,600029.SH,600030.SH,600031.SH,000725.SZ,601939.SH,600036.SH,601898.SH,600050.SH,600066.SH,300433.SZ,600111.SH,601919.SH,000503.SZ,603288.SH,601398.SH,600089.SH,600085.SH,000983.SZ,000166.SZ,300024.SZ,600276.SH,002310.SZ,603160.SH,600100.SH,600115.SH,600705.SH,600104.SH,601808.SH,600606.SH,600118.SH,601878.SH,601838.SH,601198.SH,600332.SH,600219.SH,600153.SH,600482.SH,600170.SH,601009.SH,600177.SH,002475.SZ,600188.SH,601360.SH,600196.SH,600208.SH,601600.SH,000671.SZ,600498.SH,601211.SH,600221.SH,002673.SZ,601318.SH,600570.SH,600390.SH,002001.SZ,000839.SZ,601688.SH,600535.SH,600406.SH,002925.SZ,600372.SH,600309.SH,600340.SH,601328.SH,600566.SH,601985.SH,601828.SH,600362.SH,600522.SH,002773.SZ,600004.SH,300136.SZ,601881.SH,600519.SH,601727.SH,601669.SH,002085.SZ,600583.SH,600585.SH,601228.SH,601555.SH,600760.SH,601238.SH,002311.SZ,300144.SZ,601377.SH,601607.SH,600919.SH,601633.SH,601288.SH,601021.SH,000627.SZ,601108.SH,601229.SH,601611.SH,002032.SZ,601111.SH,601225.SH,603156.SH,600660.SH,603858.SH,601216.SH,601117.SH,600703.SH,600690.SH,300124.SZ,600547.SH,600926.SH,600809.SH,600011.SH,601998.SH,601390.SH,600739.SH,600741.SH,002625.SZ,300033.SZ,600489.SH,600998.SH,000333.SZ,002558.SZ,601212.SH,600837.SH,600795.SH,601899.SH,601066.SH,600867.SH,600958.SH,600886.SH,603993.SH,000553.SZ,600893.SH,601012.SH,600977.SH,601186.SH,300142.SZ,002415.SZ,600909.SH,601601.SH,601333.SH,600999.SH,601336.SH,002601.SZ,300070.SZ,600887.SH,002450.SZ,601628.SH,600704.SH,600900.SH,603259.SH,002602.SZ,002081.SZ,002153.SZ,002024.SZ,601800.SH,600487.SH,600157.SH,600023.SH,600038.SH,002797.SZ,300072.SZ,600233.SH
2005-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,97.7266,60.9809,,61.777,70.3668,,,65.9062,29.3746,67.078,74.2927,,68.3085,,51.3487,16.1849,54.3252,43.8888,76.534,,53.7124,27.9964,57.5902,12.3349,23.2345,66.1442,,22.9592,68.2074,30.5529,66.0507,47.7641,,94.4628,,20.718,83.8858,47.9345,57.9628,43.29,47.119,44.1648,17.459,62.4802,78.7811,,64.7988,,54.5044,41.2462,,32.5858,70.4247,,54.8377,,55.0177,,53.7471,62.5741,77.8437,84.9907,,59.0492,35.0995,71.1515,13.198,63.9744,43.3824,,96.6351,,,,,,67.3384,24.6246,,69.921,51.8188,41.6986,44.308,59.021,70.2754,42.7604,56.7322,,47.9345,,43.6922,57.0388,44.7258,23.1756,94.8451,37.0018,67.4655,79.273,38.408,66.5513,,21.314,,,,,,,44.2272,36.6614,,97.3089,,25.9373,31.0416,60.415,27.3972,,52.8184,52.387,100.5397,97.2155,91.0822,,,60.7965,58.2077,52.2898,4.8222,47.6828,54.7908,67.1713,97.0413,97.2402,44.4271,50.4616,,59.1648,52.9352,83.2762,66.3198,54.8744,82.7386,93.7267,96.4611,,45.7533,50.9416,,34.9877,53.1841,21.2038,,95.9583,68.9539,24.2255,47.8168,87.0752,51.0051,13.7801,,,64.7242,88.3955,69.5782,19.6007,21.0491,54.9241,64.9417,112.8192,,,44.9415,47.1381,61.0229,48.5305,68.0958,95.6696,62.3872,,18.4589,,49.2824,71.9791,43.0616,44.9998,38.705,86.5377,88.7145,56.1689,88.4802,19.4154,47.7651,59.9792,54.4253,62.5896,43.1854,37.9679,,57.6655,60.0791,23.4974,94.2373,34.4107,,,32.4446,50.5435,,47.0688,,,35.9313,61.8133,,65.5334,32.6088,64.3789,,58.4522,37.0338,36.9801,,,77.8448,68.8292,96.569,33.1236,98.3314,,32.7869,51.0929,95.6586,,40.0749,67.2587,,,66.2631,,,,156.0879,10.669,,47.8766,94.6307,25.2959,53.6418,96.0137,91.8859,59.3194,59.2773,,,45.9869,,69.5693,,,22.5008,68.881,41.8778,,28.8723,76.3571,72.149,,45.9326,38.6629,,,98.3846,,,,95.4544,14.2096,78.0948,,,,52.346,,87.8552,66.5221,43.5245,,,86.4458,33.988,71.3874,84.8161,40.4386,59.3625,,34.0659,39.5293,,6.99
2006-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-31,97.8026,57.9282,,62.0989,81.0377,,,69.4857,34.2403,68.8794,70.9347,,68.1916,,50.0901,12.547,,47.8457,,,52.6995,29.739,58.3472,13.3192,26.6908,73.5354,,23.0212,,,70.325,48.7931,,,,51.5844,,,60.5097,44.2494,47.7371,46.2809,13.5162,58.7972,79.3279,,67.4322,,53.0297,35.9453,,33.0692,72.258,,62.4178,,56.5849,,56.1254,,81.5576,,,60.1766,40.7717,,16.9466,64.3396,40.9769,,,,,,,,,31.5602,,69.8811,,,47.498,59.08,,52.8145,59.5667,,55.755,,,,47.0795,23.3856,,36.9447,71.5652,77.8452,39.1001,69.3551,,18.0635,,,,,,,,40.4995,,,,29.5598,,61.1842,39.311,,,47.3482,,97.3843,,,,61.4522,,,8.4981,37.3136,56.4345,61.4488,97.007,97.1964,44.2209,47.1786,,,52.9185,84.4672,69.047,57.9308,85.2119,,95.7683,,44.4304,49.9054,,34.894,,12.2373,,,68.9967,23.1167,48.2002,,,14.5793,,,65.4891,90.2818,69.9486,21.8633,,51.3823,58.8071,,,,47.2889,42.9328,63.1584,49.6639,67.4744,,56.5576,,16.487,,49.1712,71.4869,,51.1735,36.2109,85.7305,88.6544,57.0553,,11.6656,46.7163,65.1279,56.7539,63.546,51.0174,35.9356,,61.7478,55.5439,21.8064,,37.3477,,,30.5989,56.2924,,47.1669,,,31.0346,,,,30.5832,65.1371,,,39.3163,,,,76.3154,70.2549,,,,,32.943,51.728,,,43.7507,,,,65.6691,,,,160.1637,8.3177,,47.0618,,30.7825,53.3631,,,60.8388,61.9401,,,44.7382,,,,,24.6665,69.6103,,,31.1908,75.9686,73.3244,,48.3584,39.0507,,,,,,,,,71.0514,,,,55.6026,,,67.5906,43.0982,,,85.1036,,72.3345,,42.1032,61.035,,34.5701,33.93,,8.1042
2006-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-30,97.6971,59.5618,,60.6539,98.8033,,,71.5681,35.7535,71.9786,75.1785,,67.7317,,50.3592,12.4927,,54.7245,,,58.1198,32.9193,59.2897,14.5856,28.4671,74.5733,,23.8293,71.8658,,68.2795,56.1208,,92.6065,,50.2171,,,61.4818,,47.8341,47.355,14.6931,70.5323,82.8251,,72.7044,,53.0459,36.3871,,31.3703,72.7383,,74.6878,,56.8698,,62.1995,,79.6039,86.4547,,63.7203,46.4249,,15.4313,67.2013,39.064,,,,,,,,,35.6998,,69.736,50.2243,,51.4074,63.6735,,54.487,55.1694,,57.8492,,,56.355,45.056,19.9592,,44.3095,75.1019,75.9197,34.3421,67.4772,,26.3528,,,,,,,,48.5926,,97.3431,,25.3229,,64.0848,42.5791,,,46.1802,,97.2921,,,,65.9528,,,12.1728,47.5256,56.9686,60.5252,97.2574,97.3449,45.2966,44.8793,,,56.2958,85.0114,75.4648,50.8625,90.4621,,96.0279,,44.3284,57.5517,,42.184,,14.5853,,95.3183,70.3275,25.6703,49.8105,90.0991,,15.99,,,64.2051,91.4156,77.1688,22.9203,,49.4781,64.7156,81.4277,,,47.549,32.8944,70.5651,58.5977,69.5678,,58.9147,,20.4128,,46.3152,70.7634,38.3588,59.6988,41.3194,89.0577,77.1945,67.4524,,28.694,47.8129,65.8496,58.3011,75.4264,47.8735,38.648,,59.1556,54.7451,26.1365,,33.4797,,,35.8978,58.4547,,46.9586,,,35.1466,,,70.4359,34.7211,63.6158,,78.8064,40.055,,,,86.6535,69.0384,,,,,33.6651,69.431,,,48.3857,68.8609,,,64.9494,,,,167.2349,14.4109,,48.0425,,27.3917,56.8683,,,58.6812,61.6827,,,48.1823,,,,,24.6868,70.3859,,,31.0494,68.8606,70.7989,,45.1873,38.452,,,,,,,,17.7091,82.0885,,,,59.311,,88.9962,70.4729,45.1879,,,,,62.5543,,44.7344,62.2348,,39.7193,62.1201,,13.8763
2006-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
